41196311 ve 41197819 Arasinda  : 49
41199659 ve 41199720 Arasinda  : 17
41201137 ve 41201211 Arasinda  : 32
41203079 ve 41203134 Arasinda  : 25
41209068 ve 41209152 Arasinda  : 47
41215349 ve 41215390 Arasinda  : 26
41215349 ve 41215390 Arasinda  : 26
41215890 ve 41215968 Arasinda  : 38
41219624 ve 41219712 Arasinda  : 21
41219624 ve 41219712 Arasinda  : 43
41219624 ve 41219712 Arasinda  : 43
41222944 ve 41223255 Arasinda  : 79
41226347 ve 41226538 Arasinda  : 57
41228504 ve 41228631 Arasinda  : 45
41234420 ve 41234592 Arasinda  : 56
41234420 ve 41234592 Arasinda  : 56
41242960 ve 41243049 Arasinda  : 47
41243451 ve 41246877 Arasinda  : 288
41243451 ve 41246877 Arasinda  : 1514
41247862 ve 41247939 Arasinda  : 9
41249260 ve 41249306 Arasinda  : 1
41251791 ve 41251897 Arasinda  : 39
41251791 ve 41251897 Arasinda  : 39
41256138 ve 41256278 Arasinda  : 48
41256884 ve 41256973 Arasinda  : 19
41258472 ve 41258550 Arasinda  : 44
41267742 ve 41267796 Arasinda  : 25
